,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
13,69219-86631,WR,CeeDee,CeeDee Lamb,Lamb,13.292307927058294,13.0,7100,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
14,69219-56250,WR,Terry,Terry McLaurin,McLaurin,10.614286150251116,14.0,7000,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
15,69219-90573,WR,Jaylen,Jaylen Waddle,Waddle,12.015384380634014,13.0,6900,MIA@NO,MIA,NO,,,,,,WR/FLEX
16,69219-31001,WR,Amari,Amari Cooper,Cooper,10.900000254313149,12.0,6500,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
17,69219-33260,WR,DeVante,DeVante Parker,Parker,10.67142813546317,7.0,6100,MIA@NO,MIA,NO,,,,,,WR/FLEX
18,69219-69956,WR,Michael,Michael Gallup,Gallup,8.085714067731585,7.0,5700,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
19,69219-71246,WR,Marquez,Marquez Callaway,Callaway,7.821428571428571,14.0,5600,MIA@NO,NO,MIA,,,,,,WR/FLEX
20,69219-57342,WR,Tre'Quan,Tre'Quan Smith,Smith,6.177777608235678,9.0,5300,MIA@NO,NO,MIA,Q,Shoulder,,,,WR/FLEX
21,69219-62628,WR,DeAndre,DeAndre Carter,Carter,5.0214287894112735,14.0,5000,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
22,69219-54472,WR,Cam,Cam Sims,Sims,4.928571428571429,7.0,5000,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
23,69219-71031,WR,Lil'Jordan,Lil'Jordan Humphrey,Humphrey,7.050000190734862,4.0,4800,MIA@NO,NO,MIA,,,,,,WR/FLEX
24,69219-69581,WR,Cedrick,Cedrick Wilson,Wilson,7.380000027743253,11.0,4800,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
