Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
68918-54140,RB,Dalvin,Dalvin Cook,Cook,16.769999694824218,10,9000,MIN@CHI,MIN,CHI,,,,,,RB/FLEX
68918-85671,WR,Justin,Justin Jefferson,Jefferson,16.899999765249397,13,8800,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
68918-22038,QB,Kirk,Kirk Cousins,Cousins,19.743077204777645,13,8000,MIN@CHI,MIN,CHI,,,,,,QB
68918-53562,RB,Nick,Nick Chubb,Chubb,15.13000030517578,10,8000,LV@CLE,CLE,LV,,,,,,RB/FLEX
68918-45859,QB,Derek,Derek Carr,Carr,17.133846576397236,13,7600,LV@CLE,LV,CLE,,,,,,QB
68918-39716,WR,Adam,Adam Thielen,Thielen,13.40000025431315,12,7500,MIN@CHI,MIN,CHI,Q,Ankle,,,,WR/FLEX
68918-72731,RB,Josh,Josh Jacobs,Jacobs,12.709091186523438,11,7400,LV@CLE,LV,CLE,,,,,,RB/FLEX
68918-57986,WR,Hunter,Hunter Renfrow,Renfrow,12.26153799203726,13,7400,LV@CLE,LV,CLE,,,,,,WR/FLEX
68918-41535,QB,Baker,Baker Mayfield,Mayfield,13.743333180745443,12,7200,LV@CLE,CLE,LV,IR,Illness,,,,QB
68918-25011,TE,Darren,Darren Waller,Waller,10.280000305175781,10,7000,LV@CLE,LV,CLE,O,Knee,,,,TE/FLEX
68918-91591,QB,Justin,Justin Fields,Fields,10.900000138716264,11,7000,MIN@CHI,CHI,MIN,,,,,,QB
68918-73273,RB,David,David Montgomery,Montgomery,13.01111094156901,9,6800,MIN@CHI,CHI,MIN,,,,,,RB/FLEX
68918-31394,WR,Jarvis,Jarvis Landry,Landry,8.455555386013454,9,6800,LV@CLE,CLE,LV,IR,Illness,,,,WR/FLEX
68918-41562,QB,Nick,Nick Mullens,Mullens,11.66181807084517,11,6500,LV@CLE,CLE,LV,,,,,,QB
68918-45229,RB,Kareem,Kareem Hunt,Hunt,12.375,8,6500,LV@CLE,CLE,LV,IR,Undisclosed,,,,RB/FLEX
68918-22994,QB,Case,Case Keenum,Keenum,4.034999847412109,4,6500,LV@CLE,CLE,LV,IR,Illness,,,,QB
68918-14225,QB,Andy,Andy Dalton,Dalton,10.696666717529297,6,6200,MIN@CHI,CHI,MIN,IR,Undisclosed,,,,QB
68918-29358,QB,Marcus,Marcus Mariota,Mariota,2.625,4,6200,LV@CLE,LV,CLE,,,,,,QB
68918-22027,QB,Nick,Nick Foles,Foles,12.464444478352865,9,6100,MIN@CHI,CHI,MIN,,,,,,QB
68918-69777,WR,Darnell,Darnell Mooney,Mooney,9.746153611403246,13,6100,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
68918-29445,QB,Sean,Sean Mannion,Mannion,,,6000,MIN@CHI,MIN,CHI,,,,,,QB
68918-71710,QB,Nate,Nate Stanley,Stanley,,,6000,MIN@CHI,MIN,CHI,IR,Undisclosed,,,,QB
68918-130337,QB,Case,Case Cookus,Cookus,0,1,6000,LV@CLE,LV,CLE,,,,,,QB
68918-30761,QB,Nathan,Nathan Peterman,Peterman,0.20000000298023224,1,6000,LV@CLE,LV,CLE,,,,,,QB
68918-94797,QB,Kellen,Kellen Mond,Mond,,,6000,MIN@CHI,MIN,CHI,,,,,,QB
68918-63855,WR,K.J.,K.J. Osborn,Osborn,7.1923076923076925,13,6000,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
68918-83079,QB,Kyle,Kyle Lauletta,Lauletta,,,6000,LV@CLE,CLE,LV,,,,,,QB
68918-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,7.833333333333333,9,5900,LV@CLE,CLE,LV,,,,,,WR/FLEX
68918-60451,TE,Tyler,Tyler Conklin,Conklin,7.030769348144531,13,5700,MIN@CHI,MIN,CHI,,,,,,TE/FLEX
68918-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,7.787499904632568,8,5700,LV@CLE,CLE,LV,,,,,,RB/FLEX
68918-30989,RB,Kenyan,Kenyan Drake,Drake,7.291666666666667,12,5500,LV@CLE,LV,CLE,IR,Ankle,,,,RB/FLEX
68918-60712,TE,Foster,Foster Moreau,Moreau,5.525000095367432,8,5500,LV@CLE,LV,CLE,,,,,,TE/FLEX
68918-28643,WR,Allen,Allen Robinson II,Robinson II,5.729999923706055,10,5500,MIN@CHI,CHI,MIN,IR,Undisclosed,,,,WR/FLEX
68918-72776,RB,Alexander,Alexander Mattison,Mattison,6.884615384615385,13,5400,MIN@CHI,MIN,CHI,IR,Illness,,,,RB/FLEX
68918-69276,WR,Bryan,Bryan Edwards,Edwards,5.8076923076923075,13,5400,LV@CLE,LV,CLE,,,,,,WR/FLEX
68918-40126,TE,Austin,Austin Hooper,Hooper,5.046153728778545,13,5300,LV@CLE,CLE,LV,IR,Illness,,,,TE/FLEX
68918-55335,TE,David,David Njoku,Njoku,6.572727550159801,11,5200,LV@CLE,CLE,LV,,,,,,TE/FLEX
68918-27441,RB,Damien,Damien Williams,Williams,5.714285714285714,7,5200,MIN@CHI,CHI,MIN,,,,,,RB/FLEX
68918-6739,WR,DeSean,DeSean Jackson,Jackson,5.1636362942782315,11,5200,LV@CLE,LV,CLE,,,,,,WR/FLEX
68918-32703,WR,Jakeem,Jakeem Grant Sr.,Grant Sr.,2.4846153259277344,13,5200,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
68918-41305,WR,Zay,Zay Jones,Jones,3.9636362249200996,11,5100,LV@CLE,LV,CLE,,,,,,WR/FLEX
68918-32243,WR,Marquise,Marquise Goodwin,Goodwin,3.7818180431019175,11,5100,MIN@CHI,CHI,MIN,D,Foot,,,,WR/FLEX
68918-40857,RB,Peyton,Peyton Barber,Barber,4.816666603088379,6,5000,LV@CLE,LV,CLE,,,,,,RB/FLEX
68918-91047,TE,Cole,Cole Kmet,Kmet,4.876923194298377,13,5000,MIN@CHI,CHI,MIN,,,,,,TE/FLEX
68918-30678,WR,Damiere,Damiere Byrd,Byrd,4.51428576878139,7,5000,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
68918-72412,RB,Khalil,Khalil Herbert,Herbert,4.641666730244954,12,4900,MIN@CHI,CHI,MIN,,,,,,RB/FLEX
68918-60910,WR,Dede,Dede Westbrook,Westbrook,0.9909090562300249,11,4900,MIN@CHI,MIN,CHI,IR,Illness,,,,WR/FLEX
68918-33578,RB,Jalen,Jalen Richard,Richard,1.8600000381469726,5,4800,LV@CLE,LV,CLE,,,,,,RB/FLEX
68918-12540,D,Minnesota,Minnesota Vikings,Vikings,6.923076923076923,13,4800,MIN@CHI,MIN,CHI,,,,,,DEF
68918-73247,RB,Kene,Kene Nwangwu,Nwangwu,3,5,4700,MIN@CHI,MIN,CHI,,,,,,RB/FLEX
68918-87662,WR,Anthony,Anthony Schwartz,Schwartz,1.6899999618530273,10,4700,LV@CLE,CLE,LV,Q,Concussion,,,,WR/FLEX
68918-70282,RB,Demetric,Demetric Felton,Felton,2.4166666666666665,12,4700,LV@CLE,CLE,LV,,,,,,RB/FLEX
68918-45791,WR,Rashard,Rashard Higgins,Higgins,3.5555555555555554,9,4700,LV@CLE,CLE,LV,,,,,,WR/FLEX
68918-60705,WR,Tyron,Tyron Johnson,Johnson,0.5199999809265137,5,4600,LV@CLE,LV,CLE,,,,,,WR/FLEX
68918-79974,RB,Tarik,Tarik Cohen,Cohen,2.9,5,4600,MIN@CHI,CHI,MIN,NA,Knee - acl,,,,RB/FLEX
68918-39818,RB,Wayne,Wayne Gallman Jr.,Gallman Jr.,2.1666666666666665,6,4600,MIN@CHI,MIN,CHI,,,,,,RB/FLEX
68918-72103,RB,Trey,Trey Ragas,Ragas,2.5,1,4600,LV@CLE,LV,CLE,,,,,,RB/FLEX
68918-64949,WR,Ja'Marcus,Ja'Marcus Bradley,Bradley,4.199999809265137,2,4600,LV@CLE,CLE,LV,,,,,,WR/FLEX
68918-70601,TE,Harrison,Harrison Bryant,Bryant,3.2333333757188587,9,4600,LV@CLE,CLE,LV,Q,Ankle,,,,TE/FLEX
68918-69325,WR,Riley,Riley Ridley,Ridley,2.1,5,4600,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
