Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
68919-79970,WR,Cooper,Cooper Kupp,Kupp,21.45384568434495,13,9500,SEA@LAR,LAR,SEA,,,,,,WR/FLEX
68919-6654,QB,Matthew,Matthew Stafford,Stafford,21.90923133263221,13,8500,SEA@LAR,LAR,SEA,,,,,,QB
68919-73048,WR,DK,DK Metcalf,Metcalf,11.63846177321214,13,7500,SEA@LAR,SEA,LAR,,,,,,WR/FLEX
68919-90933,RB,Antonio,Antonio Gibson,Gibson,12.169230534480167,13,7400,WAS@PHI,WAS,PHI,,,,,,RB/FLEX
68919-56250,WR,Terry,Terry McLaurin,McLaurin,10.961538461538462,13,7300,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
68919-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,14.35,10,7000,SEA@LAR,LAR,SEA,,,,,,RB/FLEX
68919-53640,RB,Sony,Sony Michel,Michel,6.1923076923076925,13,7000,SEA@LAR,LAR,SEA,,,,,,RB/FLEX
68919-71845,RB,Miles,Miles Sanders,Sanders,8.330000305175782,10,6700,WAS@PHI,PHI,WAS,,,,,,RB/FLEX
68919-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,7.9,10,6500,SEA@LAR,LAR,SEA,,,,,,WR/FLEX
68919-64581,WR,Van,Van Jefferson Jr.,Jefferson Jr.,9.646153963529146,13,6400,SEA@LAR,LAR,SEA,,,,,,WR/FLEX
68919-83074,TE,Dallas,Dallas Goedert,Goedert,8.841666539510092,12,6400,WAS@PHI,PHI,WAS,,,,,,TE/FLEX
68919-57840,RB,Rashaad,Rashaad Penny,Penny,6.216666539510091,6,6400,SEA@LAR,SEA,LAR,,,,,,RB/FLEX
68919-90576,WR,DeVonta,DeVonta Smith,Smith,9.16153834416316,13,6000,WAS@PHI,PHI,WAS,,,,,,WR/FLEX
68919-42142,RB,Jordan,Jordan Howard,Howard,11.350000381469727,4,5600,WAS@PHI,PHI,WAS,,,,,,RB/FLEX
68919-73687,WR,Quez,Quez Watkins,Watkins,5.146153963529146,13,5500,WAS@PHI,PHI,WAS,,,,,,WR/FLEX
68919-43433,RB,Boston,Boston Scott,Scott,7.425000190734863,8,5300,WAS@PHI,PHI,WAS,,,,,,RB/FLEX
68919-24671,WR,Adam,Adam Humphries,Humphries,3.8923075749323917,13,5200,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
68919-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,7.391666412353516,12,5100,WAS@PHI,PHI,WAS,,,,,,RB/FLEX
68919-62628,WR,DeAndre,DeAndre Carter,Carter,5.146153963529146,13,5100,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
68919-57299,TE,Gerald,Gerald Everett,Everett,5.763636502352628,11,5100,SEA@LAR,SEA,LAR,,,,,,TE/FLEX
68919-40977,TE,Ricky,Ricky Seals-Jones,Seals-Jones,5.974999904632568,8,5000,WAS@PHI,WAS,PHI,Q,Illness,,,,TE/FLEX
68919-94625,WR,Jalen,Jalen Reagor,Reagor,3.715384556696965,13,5000,WAS@PHI,PHI,WAS,,,,,,WR/FLEX
68919-54472,WR,Cam,Cam Sims,Sims,5.450000127156575,6,5000,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
68919-12545,D,Philadelphia,Philadelphia Eagles,Eagles,6.846153846153846,13,4800,WAS@PHI,PHI,WAS,,,,,,DEF
68919-69303,WR,Freddie,Freddie Swain,Swain,4.084615267240084,13,4700,SEA@LAR,SEA,LAR,,,,,,WR/FLEX
68919-72182,WR,Dee,Dee Eskridge,Eskridge,3.279999923706055,5,4700,SEA@LAR,SEA,LAR,,,,,,WR/FLEX
68919-55895,TE,Kendall,Kendall Blanton,Blanton,1.8999999364217122,3,4000,SEA@LAR,LAR,SEA,,,,,,TE/FLEX
