Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
69007-12533,D,Green Bay,Green Bay Packers,Packers,7.2857142857142865,14,4700,CLE@GB,GB,CLE,,,,,,DEF
69007-12535,D,Indianapolis,Indianapolis Colts,Colts,9.142857142857142,14,3900,IND@ARI,IND,ARI,,,,,,DEF
69007-63484,QB,Kyler,Kyler Murray,Murray,22.59636341441761,11,8700,IND@ARI,ARI,IND,,,,,,QB
69007-6894,QB,Aaron,Aaron Rodgers,Rodgers,21.71384605994591,13,8300,CLE@GB,GB,CLE,,,,,,QB
69007-89675,RB,Jonathan,Jonathan Taylor,Taylor,22.385713849748893,14,10500,IND@ARI,IND,ARI,,,,,,RB/FLEX
69007-53562,RB,Nick,Nick Chubb,Chubb,15.190909645774148,11,7600,CLE@GB,CLE,GB,,,,,,RB/FLEX
69007-40442,RB,Aaron,Aaron Jones,Jones,13.746153611403244,13,7300,CLE@GB,GB,CLE,,,,,,RB/FLEX
69007-40687,RB,James,James Conner,Conner,15.3499995640346,14,7100,IND@ARI,ARI,IND,Q,Heel,,,,RB/FLEX
69007-93107,RB,AJ,AJ Dillon,Dillon,9.5,14,6200,CLE@GB,GB,CLE,,,,,,RB/FLEX
69007-83081,RB,Chase,Chase Edmonds,Edmonds,8.84000015258789,10,5800,IND@ARI,ARI,IND,,,,,,RB/FLEX
69007-29780,TE,Zach,Zach Ertz,Ertz,8.200000217982701,14,5800,IND@ARI,ARI,IND,,,,,,TE/FLEX
69007-40126,TE,Austin,Austin Hooper,Hooper,5.0461537287785445,13,5300,CLE@GB,CLE,GB,,,,,,TE/FLEX
69007-45889,WR,Davante,Davante Adams,Adams,16.984615619365986,13,8800,CLE@GB,GB,CLE,,,,,,WR/FLEX
69007-60858,WR,Christian,Christian Kirk,Kirk,10.329999651227679,14,7200,IND@ARI,ARI,IND,,,,,,WR/FLEX
69007-31394,WR,Jarvis,Jarvis Landry,Landry,8.455555386013454,9,6600,CLE@GB,CLE,GB,,,,,,WR/FLEX
69007-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.214285714285712,14,6400,IND@ARI,IND,ARI,,,,,,WR/FLEX
69007-14187,WR,A.J.,A.J. Green,Green,8.676923311673677,13,5900,IND@ARI,ARI,IND,,,,,,WR/FLEX
69007-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,7.730000305175781,10,5800,CLE@GB,CLE,GB,,,,,,WR/FLEX
69007-56809,WR,Allen,Allen Lazard,Lazard,6.5,11,5200,CLE@GB,GB,CLE,,,,,,WR/FLEX
